题目,作者,期刊,发表时间,摘要,关键词
税收与基本公共卫生服务均等化:基于福建省的研究,邓剑伟,中共福建省委党校学报(2011年10期),2011/10/10,"实现基本公共卫生服务均等化,保障城乡居民获得最基本、最有效的基本公共卫生服务,是服务型政府建设的重要内容。基本公共卫生服务作为纯公共物品,是市场不愿意或不能供给的,需要政府在其中发挥主导作用,而政府基本公共卫生服务职能的履行,需要有充足的财政收入作为保障。结合福建省的实际情况,分析不同区域、人群等维度的税收与基本公共服务均化现状,有助于揭示隐藏在背后的税制问题,并基于税收的角度提出改善福建省基本公共卫生服务均等化现状的对策建议。",税收;公共卫生服务;均等化;实证分析;
基本公共卫生服务均等化有关问题研究,,财政监督(2011年28期),2011/10/5,"<正>党的十七大报告中明确提出:""缩小区域发展差距,必须注重实现基本公共服务均等化,引导生产要素跨区域合理流动。""这是中国共产党的政治报告中第一次明确提出""基本公共服务均等化""概念。《中共中央、国务院关于深化医药卫生体制改革的意见》(中发[2009]6号)中明确指出:""促进基本",
农村基本公共卫生服务均等化实践探索——四川省荣县实施工作浅析,周世熙;王明德;夏和珍;邓富亨;毕可琪,中国卫生事业管理(2011年08期),2011/8/15,"对""农村基本公共卫生服务均等化""实施工作进行探索。选择示范乡镇开展相关工作,建立了项目目标年度考核、县乡两级督查和指导及资金划拨、绩效考核等管理制度。五个示范镇经过试运行,取得部分成效和经验,也存在一些问题,针对实际问题进行了进一步的探讨。",农村;基本公共卫生服务实施工作;实践;探索;
基本公共卫生服务中医药服务项目试点工作启动,,中国药房(2011年30期),2011/8/10,"<正>本刊讯2011年7月12日,国家中医药管理局在浙江省杭州市召开基本公共卫生服务中医药服务项目试点工作启动会。这标志着从即日起,将有多达73个市辖区(县)的社区居民可以在家门口享受到免费的中医药基本公共卫生服务。",
城乡基本公共卫生服务非均等化成因分析——一个公共支出的视角,尹栾玉;田苗苗,学术交流(2011年08期),2011/8/5,"在经济学的语境下,基本公共卫生服务是一种典型的公共产品,主要应该由政府来提供。改革开放后,由于过度强调医改过程中的市场化原则,政府在公共卫生服务领域严重缺位,直接导致了中国基本公共卫生服务的非均等化问题。公共卫生支出总量的不足和支出结构不合理,是造成城乡基本公共卫生服务非均等化的直接原因,解决这一问题要求政府必须打破二元经济结构的历史局限性,完善公共财政体制和转移支付制度,从而保证农村居民也能够平等地享受到公共卫生服务的基本权利。",基本公共卫生服务;公共支出;非均等化;
基本公共卫生服务均等化的难点与对策,陈丽;舒展;姚岚,中国卫生经济(2011年08期),2011/8/5,"作为当前深化医药卫生体制改革的一项重要制度安排和新医改五项工作重点之一,促进基本公共卫生服务逐步均等化对人民群众享有安全、有效、方便、价廉的医疗卫生服务具有重要意义。然而,各地在落实基本公共卫生服务均等化的过程中遇到了相关体制不完善、法律法规不健全、基层公共卫生服务提供体系不完善等一系列的障碍,文章针对这些问题展开分析并提出相关建议。",基本公共卫生服务;均等化;政策建议;
基本公共卫生服务均等化评估框架设计与构建,吴建;张亮;赵要军;张萌;谢双保,中国卫生经济(2011年08期),2011/8/5,"结合目前国家开展基本公共卫生服务均等化改革的实际需要,重点介绍了开展均等化评估的理念和思路,提出了结构化的评估框架,并经过专家咨询,建立了初步的评价指标体系,为下一步开展现场评估奠定了基础。",基本公共卫生服务;均等化;评估;设计;
广东省社区卫生服务中心业务开展情况的调查分析,刘莎娜;方小衡;刘海平;黄文杰;陈带娣;林志宽;范哲超,中国全科医学(2011年22期),2011/8/5,"目的了解广东省社区卫生服务中心的业务开展情况,为发展社区卫生服务提供参考依据。方法调查2009年广东省社区卫生服务中心诊疗服务和基本公共卫生服务的开展情况,并对不同区域间的差异进行分析。结果在诊疗服务方面,全省社区卫生服务中心总诊疗服务量为5088.37万人次;珠三角所均总诊疗人次最高,为14.63万人次,西翼最低,为1.51万人次。在基本公共卫生服务方面,全省社区卫生服务中心传染病报告率最高,达98.3%,重性精神疾病患者管理率最低,仅为7.1%;珠三角健康档案管理率最高,为11.1%,东翼最低,为4.1%;珠三角健康教育服务、慢性病患者管理服务开展得最好,东翼最差。结论广东省社区卫生服务初显成效,但不同区域的社区卫生服务开展水平间存在较大差异,双向转诊服务落实不到位。",社区卫生服务中心;诊疗服务;基本公共卫生服务;
实施国家基本公共卫生服务项目  促进基本公共卫生服务逐步均等化,,中国药房(2011年24期),2011/6/22,"<正>本刊讯实施国家基本公共卫生服务项目,是促进基本公共卫生服务逐步均等化的重要内容,是深化医药卫生体制改革近期重点任务。为城乡居民免费提供基本公共卫生服务,是我国政府坚持以人为本、落实预防为主卫生工作方针的具体体现,也是我国公共卫生领域的一项长期的、基础性的制度安排。通过对城乡居民健康问题进行干预,减少主要健康危险因素,有利于预防和控制传染病及慢性病的蔓延,有利于提高居民对公共卫生服务的可及性,逐步缩小城乡、地区和人群之间的差距,使城乡居民逐步享有均等化的基本公共卫生",
促进基本公共卫生服务均等化的现实困境及对策,余苏珍;王力;王素珍;王军永,中国卫生事业管理(2011年06期),2011/6/15,"基本公共卫生服务均等化是新医改方案明确提出的重点工作之一。本文主要从对基本公共卫生服务均等化内涵的理解入手,分析我国基本卫生服务均等化面对的困境及为逐步促进均等化所应采取的一系列政策措施。",基本公共卫生服务;均等化;医疗改革;
论国家基本公共卫生服务的政府责任,宁博;李士雪,中国卫生事业管理(2011年06期),2011/6/15,"文章在国家基本公共卫生服务已取得初步成效的基础上,从医学、行政学和社会学角度对公共卫生服务中政府责任进行了界定,并参阅当今政治学的理念,提出趋中机制、鼓励社会力量参与及从社会本身的需要出发开展公共卫生服务三个观点。同时,文章也对当前国家基本公共卫生服务开展过程中,出现的一些突出社会问题进行反映,旨在对下一步完善政策措施,并为政策的可持续发展提供有益的参考。",基本公共卫生服务;现状;政府责任;理念;
实现基本医疗服务和基本公共卫生服务均衡发展的社康中心绩效管理模式探索,何能清;黄俊芳;廖小兵;王庆川,中国全科医学(2011年16期),2011/6/5,"目的在政府对社区卫生服务资金投入不足的情况下,探索建立一套能进一步推进基本公共卫生服务和基本医疗服务均衡发展的绩效考核办法,为类似特点的社区卫生服务中心的绩效考核提供借鉴。方法根据国家基本公共卫生服务规范要求,通过查阅文献、专家咨询并结合现场实际情况,按照全面性、重要性、可获得性原则,建立一套新的绩效考核与分配办法,并对实施前后的卫生服务情况进行分析。结果2010年1—10月(实施后),重点人群管理人数同比2009年(实施前)大幅增加;基本公共卫生服务人次同比2009年增长59.21%,基本医疗服务人次同比增长22.51%,卫生总服务人次同比增长31.01%。结论新绩效考核与分配办法的实施有效推动了基本公共卫生服务和基本医疗服务的均衡发展。",社区卫生服务;基本医疗服务;基本公共卫生服务;绩效管理;
基本公共卫生服务筹资均等化政策的实证分析:基于对部分农村地区基本公共卫生经费分配的实地调查,周金玲;孟庆跃;苗壮,中国卫生经济(2011年06期),2011/6/5,"为了解目前基本公共卫生服务的筹资政策能否保证基本公共卫生服务的有效与均等化的供给,通过对部分不发达地区农村基本公共卫生服务的实地考察,对这一政策进行实证分析。调查中发现:财政在基本公共卫生经费分配时没有考虑流动人口的因素,使得部分拨款错位;基本公共卫生经费的使用缺乏成本效益分析,成本不清晰;基本公共卫生经费在基层卫生机构(乡镇卫生院)财务管理中没有与医疗经费独立核算。在此基础上提出了政策建议。",基本公共卫生筹资;流动人口;基本公共卫生服务成本;财务管理;
社区卫生服务机构促进基本公共卫生服务均等化调查分析,李永斌;卢祖洵;王芳;王斌;刘利群;秦怀金;秦耕,中国卫生事业管理(2011年05期),2011/5/15,"目的:了解我国社区卫生服务机构促进基本公共卫生服务均等化实施进展。方法:在20072009年由卫生部组织开展连续性监测,采用统一的调查表对全国36个城市（区）所有社区卫生服务机构进行普查。结果:三年来各项基本公共卫生服务量增长迅速,2009年中心和站的服务人口建档率已达68.00%和59.70%;中心和站平均开展孕产妇保健1180.5人次和127.2人次、儿童保健2061.7人次和198.9人次、计划生育服务1334.3人次和272.2人次;中心和站慢性病有效控制率:高血压72.22%和71.15%、糖尿病70.95%和68.36%。结论:社区公共卫生服务体系已基本建立,但在体系支撑、经费投入和人员配置上仍需加强,应建立社区长效发展机制,从制度建设、内涵建设和绩效考核等方面着力提升均等化服务的质量和水平。",社区卫生;公共卫生服务;均等化;公平性;
卫生部副部长陈啸宏在京调研基本公共卫生服务和医改重大专项实施情况,,中国药房(2011年15期),2011/4/20,"<正>本刊讯2011年3月11日,卫生部副部长陈啸宏率专题调研组赴北京市海淀区调研基本公共卫生服务和""医改""重大专项实施情况。调研组听取了北京市卫生局、海淀区卫生局实施基本公共卫生服务均等化、落实""医改""重大专项以及卫生基础设施建设有关情况的汇报,实地考察了海淀区疾病预",
广西基层医疗卫生机构财政补助政策研究,范世祥;梁宝敏;龙莉莉;刘国艳,经济研究参考(2011年17期),2011/3/21,"<正>基层医疗卫生服务机构包括农村地区的乡村二级卫生服务机构(即乡镇卫生院和村卫生室)和城市地区的社区卫生服务机构。基层卫生机构是我国医疗卫生服务体系的网底,承担着基本医疗和基本公共卫生服务的职责,对改善城乡居民的健康状况和降低群众医药费用起着重要的作用。从机构性质上,政府举办的基层医疗卫生机构是公益性的事业单位",
推进基本公共卫生服务均等化与全民健康——基于公共价值分析的视角,张力文;高博;李宁秀,理论与改革(2011年02期),2011/3/15,"公共卫生服务均等化是每个国家追求的一个重要目标。促进基本公共卫生服务逐步均等化是我国深化医药卫生体制改革五项重大改革之一,本文从公共价值分析的视角,探讨我国基本公共服务卫生均等化的现实需要、实现路径和实现意义,提出公共价值观对我国基本公共卫生服务均等化的启示。",公共价值;公共卫生;均等化;
城乡基本公共卫生服务均等化的成本测算探讨,张媚;肖蕾;张正,中国卫生经济(2011年03期),2011/3/5,"<正>1公共卫生服务成本研究评述20世纪90年代以来,我国公共卫生服务领域的成本核算问题逐渐受到关注,但目前还处于理论和方法学的引入应用阶段,没有一套比较成熟的、广受认可的并且能够全面推广的成本测算方法。1997年卫生部卫生经济研究所成本测算中心和复旦大学共同开发研制了医疗服务项目",基本公共卫生服务;城乡均等化;成本测算;
城市社区实现基本公共卫生服务均等化的对策建议,刘梅,中国卫生事业管理(2010年S1期),2010/12/15,"<正>公共卫生服务均等化是公平理念在卫生服务领域的重要体现,对缩小区域发展差距、促进社会公平公正、维护社会和谐安定、确保人民群众共享改革成果具有重大的政治、经济和社会意义。社区卫生服务是公共卫生服务的网底,承担着为居民提供基本公共卫生服务的重任,研究实现社区公共卫生服务均等化对于实现医改目标具有重要战略意义。本文立足于城市社区,提出实现基本公共卫生服务均等化的建议。",
基本公共卫生服务均等化研究综述,赵红;王小合;高建民;李瑞,中国卫生事业管理(2010年11期),2010/11/20,"随着医改的深入开展,基本公共卫生服务均等化正由理论到实践,由局部向整体全面推进。文章试图从基本公共卫生服务及均等化的内涵、发展逻辑、测量评价、财政转移支付、市场化供给、主要问题等方面研究梳理及述评,提出推进基本公共卫生服务均等法制化建设,探索卫生资源公平分配与有效利用的新路径,构建基本公共卫生服务均等化评价指标体系以及加快城乡卫生综合配套改革衔接的思考建议。",基本公共卫生服务;均等化;综述;
我国流动人口基本公共卫生服务研究进展,黎慕;徐缓,现代预防医学(2010年19期),2010/10/10,"我国将促进公共卫生服务均等化作为医改工作的重点之一,在逐步加强城乡人口享有基本公共卫生服务过程中,流动人口的基本公共卫生服务问题日益突显。本文总结了我国流动人口的基本状况、流动人口主要集中的公共卫生问题以及我国公共卫生机构提供的基本公共卫生服务现状,针对研究和实践提出几点建议:1.以医改精神为基础统领研究工作导向。2.研究流动人口流动性的特征。3.研究流动人口基本公共卫生服务投入的规律。4.研究流动人口动态管理的体制机制。5.研究对流动病患者提供救助和关怀的政策。6.研究借鉴国内外的经验与做法。",流动人口;基本公共卫生服务;
政府购买农村基本公共卫生服务绩效支付初探,吴建;张萌;谢双保;赵要军;崔颖,中国卫生经济(2010年09期),2010/9/5,"本文介绍了公共卫生服务按绩效支付方式的定义、特点和应用情况,并以河南省武陟县购买高血压健康管理服务绩效支付方案为例,结合绩效支付特点和合同管理有关要求,分析了支付方案中存在的主要问题,并就加强公共卫生服务按绩效支付管理提出了操作建议。",农村;公共卫生服务;绩效支付;
推进重庆基本公共卫生服务均等化的策略,张燕;幸奠国;王星月;马海东;王润华,现代预防医学(2010年16期),2010/8/25,"[目的]通过分析重庆在推进基本公共卫生服务均等化中存在的问题和难点,有针对性地提出政策建议。[方法]查阅并分析重庆市卫生统计年鉴(2003～2007年)、第3次全国卫生服务调查重庆市数据资料。[结果]推进重庆基本公共卫生服务均等化,还面临着政府对公共卫生服务重视不够、公共卫生服务体系不健全以及城乡服务能力和获得服务的机会不均等、投入还存在明显差距等问题。[结论]推进基本公共卫生服务均等化,要从落实政府在基本公共卫生服务上的主导责任、完善基本公共卫生服务体系、建立持续稳定的财政投入机制、基层医疗卫生服务机构的人才引进和激励机制、运行机制、绩效考核评价机制等方面着手。",基本公共卫生服务;均等化;策略;
我国高校医疗机构参与社区卫生服务工作现状,朱梅;唐少秋;李英奇;张芯,中国学校卫生(2010年06期),2010/6/25,,卫生系统机构;组织和管理;社区卫生服务;
基本公共卫生服务均等化的内涵与实施策略,王伟;任苒,医学与哲学(人文社会医学版)(2010年06期),2010/6/8,"基本公共卫生服务均等化是改善人群健康而必不可少的一系列活动,对于实现人人享有基本卫生服务的改革目标具有十分重要的意义。对均等化的内涵与目标、意义与作用及均等化与可及性的关联等进行了阐述;借鉴国际经验,提出了分阶段推进、提高财政支付能力和人员能力建设等促进我国基本公共卫生服务均等化的策略与建议。",基本公共卫生服务;均等化;可及性;策略;
促进基本公共卫生服务均等化的实施策略研究——以重庆市为例,蒲川,软科学(2010年05期),2010/5/15,"分析了促进我国基本公共卫生服务均等化过程中存在的问题和难点,提出了有效推进我国基本公共卫生服务均等化的实施策略,即明确政府在基本公共卫生服务供给上的责任,制定省级统一的基本公共卫生服务内容,建立合理的基本公共卫生服务筹资机制,完善基本公共卫生服务体系,建立基层公共卫生服务机构人才的引进和激励机制,建立基本公共卫生服务的绩效考核制度。",基本公共卫生服务;均等化;实施策略;
成都市统筹城乡与基本公共卫生服务均等化创新路径探索,景琳;杨小广;杨跃林;朱敏;秦丽霞,中国卫生事业管理(2010年04期),2010/4/20,"成都市卫生行政部门通过加强硬件建设,搭建公共卫生服务逐步均等化的基础平台、重视服务标准建设,逐步缩小城乡基本公共卫生服务差距、建立绩效考核机制,提高公共财政资金使用效率等,初步探索出了统筹城乡与基本公共卫生服务逐步均等化的创新路径。",统筹城乡;本公共卫生服务;均等化;
人口和计划生育技术服务实现基本公共卫生服务均等化的思考,刘来发;林霞,中国计划生育学杂志(2010年04期),2010/4/15,,
卫生部在锡举办社区卫生服务政策培训,,中国全科医学(2009年21期),2009/11/5,"<正>9月24日,国家卫生部在锡举办促进基本公共卫生服务逐步均等化政策培训班,来自全国的近百名卫生行政人员参加培训。市领导华博雅、曹锡荣参加了开班仪式。",
江苏省现阶段实施九项基本公共卫生服务项目,,中国全科医学(2009年21期),2009/11/5,"<正>江苏省卫生厅、财政厅等有关部门依据国家基本公共卫生服务项目,并综合考虑本省经济社会发展状况、主要公共卫生问题和干预措施的效果,日前联合下发《关于促进基本公共卫生服务逐步均等化的实施意见》、《关于加强农村孕产妇住院分娩工作的意见》等文件,提出现阶段在全省实施9项基本公共卫生服务项目,包括建立居民健康档案,开展健康教育与健康促进,实施预防接种,防治传染病,开展高血压、糖尿病等慢性病管理,重性精神疾病管理,儿童保健,妇女保健,老年人保健等。该省还根据国家确定的重大公共卫生服务项目,针对影响人民群众健康的重大疾病和重点人群的主要健康问题,新增农村孕产妇住院分娩补助、为15岁以",
基本公共卫生服务经费纳入新型农村合作医疗的可行性分析,王章泽;张浩元;祝芳芳;温丽娜;杨金侠,中国卫生经济(2009年10期),2009/10/5,"新型农村合作医疗与传统合作医疗相比,在诸多方面确有其""新""的地方,但却排斥了传统合作医疗的重在预防、防治结合的内容,因此,在当前新型农村合作医疗制度较为成熟的形势下,基本公共卫生服务经费可以纳入新型农村合作医疗进行管理。文章首先分析了基本公共卫生服务经费可以纳入新型农村合作医疗的优势,接着从政治、经济、技术和实践方面阐述了其可行性,最后探讨了基本公共卫生服务经费可以纳入新型农村合作医疗的主要办法。",基本公共卫生服务;新型农村合作医疗;可行性;
我国启动并部署九项国家基本公共卫生服务项目,,中国全科医学(2009年17期),2009/9/5,,
实施公共卫生服务积分量效考核  协同推进公共卫生服务与基本医疗服务,柳树立,中国全科医学(2009年13期),2009/7/5,,公共卫生;量效考核;社区卫生服务中心;
平衡供给、需要、需求的社区基本公共卫生服务项目包研究,杨义;景琳;李玉强;张媚;王慧敏;李家伟;谢频屏;陈硕;肖蕾;卢建磊,中国卫生事业管理(2009年03期),2009/3/20,"目的:确定四川省社区基本公共卫生服务包。方法:选取6个城市的12个社区卫生服务中心,进行社区公共卫生服务供给、需要、需求问卷调查和专题小组讨论。结果:半数及以上的社区卫生服务机构能够提供56项具体服务内容中的37项。13类能够直接利用的社区公共卫生服务项目,居民均有需求。采用作业成本法,核定基本公卫包Ⅰ成本总额为91498.15元,基本公卫包Ⅱ成本总额为181818.52元。结论:平衡供给、需要、需求的基本公卫包要基于政府购买能力,并能实现社区卫生服务机构人尽其责、高效运作的要求。",社区卫生服务;基本公共卫生服务;项目包;
深圳市福田区社区基本公共卫生服务项目界定,罗乐宣;王跃平;张亮;周勇;黄河清;陈建;赖光强,中国全科医学(2008年19期),2008/10/5,"目的对社区公共卫生服务项目进行科学界定。方法依据公共产品理论及国内相关研究结果,确定社区卫生服务项目界定依据,对福田区社区卫生服务项目进行了界定归类。结果福田区现阶段开展的社区卫生服务业务主要分为10大类,具体业务项目共计76项,包括:公共项目39项,准公共项目20项,私人项目17项。结论对不同类别的社区卫生服务项目应采取不同的补偿方式。",社区卫生服务;公共卫生服务;项目界定;
城市社区基本公共卫生服务项目实施结果分析报告,陈昌锋;胡传峰;吴宪;白智泳;张洪永,中国卫生事业管理(2008年01期),2008/1/20,"目的:通过对徐州市城市社区基本公共卫生服务项目实施工作全面分析,总结实施经验,提出政策建议。方法:采用现况调查方法,对项目实施情况和效果进行描述分析。结果:徐州市开展项目工作中,政策制定、组织管理和技术措施落实到位,机构建设得到加强,为城市居民提供了质优、高效、全面、便捷的基本公共卫生服务。结论:实施项目能引导政府增加对公共卫生的投入,带动下级政府卫生筹资积极性,加强城市基本公共卫生服务体系和社区卫生服务工作内涵建设,为开展城市社区卫生服务工作提供经验和实施模式。",城市社区;公共卫生;服务;项目;
新冠疫苗接种与社区老年人群基本公共卫生体检联合服务模式的SWOT分析——以成都市某卫生院为例,张绮文;王曦然;余美玉;杨清坤;高明明;朱晨燕;郝宇;李佳圆,现代预防医学(2023年01期),2023/1/10,目的分析某社区新冠疫苗接种与老年人群基本公共卫生体检联合服务模式(后简称“老年人体检与新冠疫苗接种联合模式”)的实施现状，为保障老年人群新冠疫苗接种安全性及推动老年人群新冠疫苗的接种工作提供参考。方法方便抽样选取成都市某社区卫生院及同辖区内某疫苗接种点的决策层、服务提供者及服务接受者等39例访谈对象；采用定性访谈法了解该模式实施的益处、困难、合理性、可持续性及建议等；采用主题框架分析法、SWOT模型及文献研究法，从优势、劣势、机遇及挑战四个方面分析总结该模式的实施现状。结果社区开展该模式的优势包括提高接种安全性、普及基本公共卫生服务、提高老年人群健康素养；劣势包括工作量增加、模式流程相对复杂；机遇在于政府及国家政策支持、社会相应需求；挑战在于政府支持有限、老年人群理解能力及健康素养薄弱。结论应用该模式可保障老年人群疫苗接种安全性，提高老年人群健康素养，有效推动老年人群新冠疫苗接种工作的开展。,老年人群;COVID-19;疫苗接种;联合服务模式;SWOT模型;
城市社区家庭医生职业角色认知转型的过程机制研究,张明吉,医学与社会(2022年02期),2022/2/10,目的:分析我国城市家庭医生职业角色认知的形态和发展过程，为促进社区卫生服务发展提供参考。方法:采用结构功能主义理论和归纳式主题分析的质性研究方法，使用社区卫生服务发展早期(2013年)、新近(2017-2018年)两个阶段的访谈资料以探索城市家庭医生职业角色认知的转型过程。结果:3家社区卫生服务中心的家庭医生初期体验了认知脱嵌，之后出现了外在认同、内在认同，后者又定向积累为社区卫生服务认知模式。该认知模式与医疗技术认知、新服务结构继续互动，表现出竞争、对立、融合的演化机制。最终传统的技术价值观在与服务价值观竞争中实现了融合，开启了新的健康管理认知模式。结论:家庭医生社区卫生服务认知与医疗技术认知、新服务结构三者之间发生了丰富的互动。应进一步提高基层医疗技术水平，同时增加新角色分工，让服务结构与认知更匹配。,家庭医生;职业角色;职业认同;城市社区;
广州市基本医疗和基本公共卫生融合情况分析,王畅;刘慧;孙敏英;黎金荣;林伟权;林国桢,中国公共卫生(2021年12期),2021/12/15,"目的了解广东省广州市基本医疗和基本公共卫生融合情况,为进一步推进广州市医防融合提供科学依据。方法于2019年12月—2020年1月采用便利抽样方法抽取广州市11个区开展国家基本公共卫生服务项目工作的7416名基层医疗卫生机构医务人员进行网络问卷调查。结果广州市最终有效调查的7305名基层医务人员中,1148人(15.72%)仅从事基本医疗,2713人(37.14%)仅从事基本公共卫生,3444人(47.15%)存在基本医疗和基本公共卫生融合。3444名基本医疗和基本公共卫生融合人员中,融合1项者541人(15.71%),融合2～4项者1164人(33.80%),融合5～7项者1012人(29.38%),融合≥8项者727人(21.11%);居于基本医疗和基本公共卫生融合前3位的国家基本公共卫生服务项目依次为健康教育2522人(73.23%)、居民健康档案管理2428人(70.50%)和高血压患者健康管理2201人(63.91%)。广州市不同特征基层医务人员比较,不同辖区、性别、职业、医疗机构类别和是否全科医师的基层医务人员基本医疗和基本公共卫生融合情况差异均有统计学意义(均P<0.001),其中非中心城区融合高于中心城区,男性融合高于女性,职业以临床医师融合最高、公卫医师融合最低,医疗机构类别以村卫生室融合最高、社区卫生服务站融合最低,全科医师融合高于非全科医师。结论广州市基本医疗和基本公共卫生融合较好的国家基本公共卫生服务项目为健康教育、居民健康档案管理和高血压患者健康管理,但应重视在中心城区、女性、公卫医师、社区卫生服务站和非全科医师中的融合。",基本医疗;基本公共卫生;融合;
慢性病患者社区健康管理服务利用情况及影响因素研究,徐英;郭艳芳;刘峥;赵仁成;袁青;王一茸;雷林,中国全科医学(2022年01期),2021/11/26 14:52,"背景　2009年高血压和糖尿病被纳入国家基本公共卫生服务范畴,目前社区慢性病患者社区健康管理服务的利用情况如何有待深入研究。目的了解深圳市社区慢性病患者利用或参加社区健康管理服务的现状及影响因素。方法基于2018年9—11月深圳市慢性病及危险因素的调查数据,采用χ2检验和多分类Logistic回归模型,分析性别、年龄、户籍、婚姻状况、月收入、职业类型、在深居住年限、是否购买医保、疾病确诊医疗机构级别等对服务利用度的影响。结果本次调查共获得有效样本10042例,其中自我报告确诊高血压和糖尿病患者各1132和402例。1132例高血压患者中,530例（46.82%）表示参加了社区健康服务中心提供的高血压随访管理,其中436例（82.31%）表示医生提供了测量血压服务,399例（75.25%）表示医生提供了用药指导服务;402例糖尿病患者中,194例（48.26%）表示参加了社区健康服务中心提供的糖尿病随访管理,其中（共计193例,1例缺失）173例（89.37%）表示医生提供了测量血糖服务,154例（79.62%）表示医生提供了用药指导服务;高血压患者和糖尿病患者均表示医生进行戒烟或少吸烟、戒酒或少饮酒指导的比例较低,均低于40%。多分类Logistic回归分析结果显示,性别、年龄、月收入、在深居住年限、有无医保是影响高血压患者社区健康管理服务利用情况的因素（P<0.05）,年龄、职业类型、月收入是影响糖尿病患者社区健康管理服务利用情况的因素（P<0.05）。结论不到一半的社区慢性病患者利用或参加了社区健康管理服务。女性、18～44岁中青年、中低收入、在深居住年限较短和无医保的高血压患者、体力劳动为主的糖尿病患者利用率较低。建议针对上述重点人群加强基本公共卫生服务的宣传教育,同时进一步提高社区健康服务中心医生对患者进行健康生活方式（如吸烟、饮酒等）健康教育的意识。",高血压;糖尿病;人口健康管理;社区卫生服务;影响因素分析;
论公共卫生服务与基本医疗服务的协同之路,任晓春;牛亚泽;孟令光,医学与哲学(2021年19期),2021/10/5,"健康中国战略背景下的整合型医疗卫生体系需要基于""防治-诊治-康复""等过程实现公共卫生服务与基本医疗服务的协同,要求医疗卫生服务供给必须具有连续性、有效性和公平性。当前,医疗卫生服务面临供给碎片化、""倒三角状态""的结构性失衡困境。浙江、安徽、河南等地在组织架构、组织资源整合、组织规范等方面进行了实践探索。实现公共卫生与基本医疗服务的高效协同,需引入组织机制、市场机制和伦理机制,构建包括文化、组织、利益在内的卫生命运共同体。",公共卫生服务;基本医疗服务;大健康;
基本医疗卫生与公共卫生服务整合的国际经验及启示,苏明阳;徐进;刘晓云;祝贺,中国卫生政策研究(2021年08期),2021/8/25,"探索基本医疗卫生与公共卫生服务的整合是创新医疗卫生服务模式和完善公共卫生服务项目的重要课题之一。本文介绍了近年来国际上关于基本医疗卫生与公共卫生服务整合代表性的理论框架,对世界卫生组织、欧洲和美国整合的原则、模式和典型案例进行了总结和分析。结合目前我国对于医防融合的发展需求,为促进我国基本医疗卫生与公共卫生服务的整合提出以下建议:(1)加强基本医疗卫生服务人员公共卫生能力的建设;(2)加快基本医疗卫生与公共卫生信息化的建设;(3)促进社区参与基本医疗卫生与公共卫生服务的整合。",基本医疗卫生服务;公共卫生;医防融合;整合;
2019年北京市室外健康教育宣传栏设置情况横断面调查,韩梅;曹远;于彤;钱运梁;柴晶鑫;刘秀荣,中国健康教育(2021年08期),2021/8/19,"目的了解北京市社区卫生服务中心健康教育宣传栏设置与管理情况。方法在6个区中抽取30家社区卫生服务中心,暗访调查每家机构室外有健康教育内容的宣传栏。结果共调查30家机构的100块宣传栏:81.9%的宣传栏设置在人们经常走动或聚集的地方;63.0%的宣传栏安装金属边框、顶棚和橱窗3种保护设施;18.6%的宣传栏中心点的高度在1.50～1.6m范围内;77.0%的宣传栏栏头设置合格;54.3%的宣传栏制作机构落款合格;55.3%的宣传栏有合格的制作日期;49.0%的宣传栏前方没有遮挡物;77.0%的宣传栏为整体喷绘印制。重点查看的30块宣传栏显示,76.7%宣传栏内容通俗易懂;80.0%宣传栏文字表述简洁;80.0%宣传栏有明确的行为建议;96.7%视图主观感觉背景清新;93.3%背景色彩明快;所有背景、插图、装饰性图案均不影响阅读。结论今后应加强保护设施的安装与维护,督促对宣传栏周围障碍物的清理,提高宣传栏利用率;从内容设计上来看,现有宣传栏设计制作质量良好,重点要提升内容的通俗性,表述要更简洁,并强化行为建议。",健康教育;健康教育宣传栏;基本公共卫生服务;
流动人口基本公共卫生计生服务利用的代际差异及其影响因素,曾莉瑾;陈玉倩,中南大学学报(医学版)(2021年05期),2021/5/20 10:50,"目的:党的十九届四中全会提出""推进基本公共服务均等化"",流动人口基本公共卫生计生服务利用状况是衡量基本公共服务均等化的重要指标。本研究旨在了解老一代和新生代流动人口在基本公共卫生计生服务利用方面的代际差异,并对其影响因素进行分析。方法:采用2017年全国流动人口卫生计生动态监测调查的个人问卷(A),采用Pearsonχ2检验、二分类logistic回归与Poisson回归对流动人口基本情况、新生代和老一代流动人口的基本公共卫生计生服务利用的代际差异进行分析。结果:新生代和老一代流动人口在流入地已经建立居民健康档案的比例分别是36.42%和34.96%,差异具有统计学意义(P<0.01)。74.07%的新生代流动人口至少接受过1项健康教育,比老一代高5.33个百分点。其中,老一代仅在慢性疾病防治健康教育方面的接受比例明显高于新生代(P<0.01),其他8项健康教育的接受比例,新生代均明显高于老一代(均P<0.05)。结论:虽然基本公共卫生计生服务在两代流动人口中的覆盖情况差异明显,但不论是新生代还是老一代,流动人口基本公共卫生计生服务利用仍处于较低水平,亟需结合代际特征有针对性地促进流动人口对公共卫生计生服务的利用。",流动人口;基本公共卫生计生服务;代际差异;影响因素;
